None,DressBerry Pink & Gold Toned Triangular Danglers,http://www.myntra.com/earrings/dressberry/dressberry-pink-gold-toned-triangular-danglers/151700/buy,Rs. 250,women-jewellery,Jewellery,Accessorize,http://myntra.myntassets.com/images/style/properties/DressBerry-Pink-&-Gold-Toned-Triangular-Danglers_0b5f303ada7672422733c8d073f4ae94_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/earrings/dressberry/dressberry-pink-gold-toned-triangular-danglers/151700/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This beautiful pair of dangler earrings from DressBerry will add an instant glamour to your look. Wear it for an evening occasion and keep the rest of your accessories minimal for maximum effect.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Gold toned drop earrings with pink and purple beads, triangular drops with scalloped chain details<br/>Fish hook closure</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Metal and beads<br/>Wipe with a clean cotton swab when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Length: 9 cm</p></li></ul>,25:02:2014,None
None,Sia Art Jewellery Gold Toned Jewellery Set,http://www.myntra.com/jewellery-set/sia-art-jewellery/sia-art-jewellery-gold-toned-jewellery-set/237248/buy,Rs. 795,women-jewellery,Jewellery,Accessorize,http://myntra.myntassets.com/images/style/properties/Sia-Art-Jewellery-Gold-Toned-Jewellery-Set_78fc0ef59327c859845cd17dd69b7e0b_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/jewellery-set/sia-art-jewellery/sia-art-jewellery-gold-toned-jewellery-set/237248/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Adorn yourself with this elegant jewellery set from Sia Art Jewellery. Intricately designed with stunning detailing this set is a must-have. We recommend that you team this with your ethnic attire for a chic look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p style="text-align: left;">This jewellery set consists of a necklace and a pair of earrings<br/>Gold toned necklace with multi-coloured accents, has stone studded detail, has tear drop shaped danglers on one side with a stone studded at the centre and embellished with pink and blue studded detail, a tear drop shaped centre piece with a stone studded at the centre and pink stone embellishments around it, secured with a drawstring closure<br/>Matching drop earrings, secured with a post and back closure</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Pewter metal with imitation stones<br/>Wipe with a clean cotton swab when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Maximum length of necklace: 83 cm<br/>Length of centrepiece: 3.5 cm<br/>Length of earring: 5 cm</p></li></ul>,25:02:2014,None
None,Sia Art Jewellery Silver Toned Jewellery Set,http://www.myntra.com/jewellery-set/sia-art-jewellery/sia-art-jewellery-silver-toned-jewellery-set/237252/buy,Rs. 1,150,women-jewellery,Jewellery,Accessorize,http://myntra.myntassets.com/images/style/properties/Sia-Art-Jewellery-Silver-Toned-Jewellery-Set_74cb5a6e41102f61ddf9cac525f9b200_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/jewellery-set/sia-art-jewellery/sia-art-jewellery-silver-toned-jewellery-set/237252/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Adorn yourself with this elegant jewellery set from Sia Art Jewellery. Intricately designed with stunning detailing this set is a must-have. We recommend that you team this with your casual attire for a chic look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>This jewellery set consists of a pair of earrings, pendant, chain and a bracelet<br/>Silver toned chain, has a tear drop shaped pendant with a central faceted stone and embellished with stone studded detail around it, secured with a lobster clasp<br/>Matching tear drop shaped earrings with a post and back closure<br/>Gold toned bracelet intricately designed with Indian religious symbol, secured with an adjustable lobster clasp</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Pewter metal with imitation stones<br/>Wipe with a clean cotton swab when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Length of chain:  44 cm<br/>Length of pendant: 2 cm<br/>Length of earrings: 2 cm<br/>Length of bracelet: 23 cm</p></li></ul>,25:02:2014,None
None,DressBerry Orange & Yellow Beaded Necklace,http://www.myntra.com/necklace/dressberry/dressberry-orange-yellow-beaded-necklace/151763/buy,Rs. 345,women-jewellery,Jewellery,Accessorize,http://myntra.myntassets.com/images/style/properties/DressBerry-Orange-&-Yellow-Beaded-Necklace_eac1d23030b6169bcd40cae4897ea807_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/necklace/dressberry/dressberry-orange-yellow-beaded-necklace/151763/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Make a style statement with this beaded necklace from DressBerry. Wear it to add a vibrant touch to your look and keep the rest of your accessories for maximum effect.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Silver toned, yellow and orange necklace with beaded details<br/>Lobster clasp closure</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Metal and beads<br/>Wipe with a clean cotton swab when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Length of necklace: 57 cm</p></li></ul>,25:02:2014,None
None,Sia Art Jewellery Gold Toned Jewellery Set,http://www.myntra.com/jewellery-set/sia-art-jewellery/sia-art-jewellery-gold-toned-jewellery-set/237245/buy,Rs. 595,women-jewellery,Jewellery,Accessorize,http://myntra.myntassets.com/images/style/properties/Sia-Art-Jewellery-Gold-Toned-&-Red-Jewellery-Set_2a8b8945cc254f3ca214656fd2de9cea_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/jewellery-set/sia-art-jewellery/sia-art-jewellery-gold-toned-jewellery-set/237245/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Adorn yourself with this elegant jewellery set from Sia Art Jewellery. Intricately designed with stunning detailing this set is a must-have. We recommend that you team this with your ethnic attire for a chic look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>This jewellery set consists of a necklace, a pair of earrings and a maang tikka (forehead ornament)<br/>Gold toned necklace, white and red stone studded embellishments, a centre piece with a stone at the centre and embellished with stone studded detail around it, paisley studded detail, has a studded dangler and a drawstring closure<br/>Matching drop earrings, secured with a post and back closure<br/>Gold toned, maang tikka with a stone at the centre and embellished with stone studded detail and a hook at the other end</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Pewter metal with imitation stones<br/>Wipe with a clean cotton swab when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Maximum length of necklace: 84 cm<br/>Length of centrepiece: 8 cm<br/>Length of earring: 6 cm<br/>Length of maang tikka: 13 cm</p></li></ul>,25:02:2014,None
None,Sia Art Jewellery Gold Toned Jewellery Set,http://www.myntra.com/jewellery-set/sia-art-jewellery/sia-art-jewellery-gold-toned-jewellery-set/237250/buy,Rs. 1,250,women-jewellery,Jewellery,Accessorize,http://myntra.myntassets.com/images/style/properties/Sia-Art-Jewellery-Gold-Toned-Jewellery-Set_5ee4d9c31171e888fa1c46fd0cb2451f_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/jewellery-set/sia-art-jewellery/sia-art-jewellery-gold-toned-jewellery-set/237250/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Adorn yourself with this elegant jewellery set from Sia Art Jewellery. Intricately designed with stunning detailing this set is a must-have. We recommend that you team this with your ethnic attire for a chic look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>This jewellery set consists of a pair of earrings and a bracelet<br/>Gold toned, intricately designed, drop shaped earrings with white and blue stone studded embellishments with pearl like bead detailing, secured with a post and back closure<br/>Gold toned bracelet intricately designed with Indian religious symbol, secured with an adjustable lobster clasp closure</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Pewter metal with imitation stones<br/>Wipe with a clean cotton swab when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Length of earrings: 6 cm<br/>Length of bracelet: 23 cm</p></li></ul>,25:02:2014,None
None,Sia Art Jewellery Gold Toned Earring & Pendant Set,http://www.myntra.com/earring-pendant-set/sia-art-jewellery/sia-art-jewellery-gold-toned-earring-pendant-set/237223/buy,Rs. 1,750,women-jewellery,Jewellery,Accessorize,http://myntra.myntassets.com/images/style/properties/Sia-Art-Jewellery-Gold-Toned-Earring-&-Pendant-Set_cfb5691b2e28957dc2e7bfd101957a2c_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/earring-pendant-set/sia-art-jewellery/sia-art-jewellery-gold-toned-earring-pendant-set/237223/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Become known as the arbiter of good taste by making a statement with this earring and pendant set from Sia Art Jewellery. Wear this pretty set with a flowy summer dress for an effortlessly chic look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Gold toned earring and pendant set<br/>Gold toned drop earrings with stone studded rectangular base, has a flower shaped dangler with stone studded detail, secured with a snap-clip closure<br/>Gold toned flower shaped pendant with stone studded detail, comes with a gold toned chain with a lobster closure</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Metal, alloy<br/>Wipe with a clean, dry cotton swab when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Length of pendant: 2.5 cm<br/>Length of chain: 47.5 cm<br/> Length of earrings: 3 cm</p></li></ul>,25:02:2014,None
None,Sia Art Jewellery Gold Toned Earring & Pendant Set,http://www.myntra.com/earring-pendant-set/sia-art-jewellery/sia-art-jewellery-gold-toned-earring-pendant-set/237227/buy,Rs. 1,750,women-jewellery,Jewellery,Accessorize,http://myntra.myntassets.com/images/style/properties/Sia-Art-Jewellery-Gold-Toned-Earring-&-Pendant-Set_42d722831e59977fbe6b6b45fa6aa8b5_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/earring-pendant-set/sia-art-jewellery/sia-art-jewellery-gold-toned-earring-pendant-set/237227/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Become known as the arbiter of good taste by making a statement with this earring and pendant set from Sia Art Jewellery. Wear this pretty set with a flowy summer dress for an effortlessly chic look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Gold toned earring and pendant set<br/>Gold toned drop earrings with an inverted drop shaped base, has a stylised oval shaped dangler with cut-out detail and stone studded detail around a central faceted oval shaped black stone, secured with a post and back closure<br/>Gold toned pendant with cut-out detail, has a stylised oval shaped dangler with stone studded detail around a central faceted oval shaped black stone, comes with a gold toned chain with a spring-ring closure</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Metal, alloy<br/>Wipe with a clean, dry cotton swab when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Length of pendant: 3.3 cm<br/>Length of chain: 42.4 cm<br/> Length of earrings: 2.8 cm</p></li></ul>,25:02:2014,None
None,Sia Art Jewellery Silver Toned Earring & Pendant Set,http://www.myntra.com/earring-pendant-set/sia-art-jewellery/sia-art-jewellery-silver-toned-earring-pendant-set/237226/buy,Rs. 1,750,women-jewellery,Jewellery,Accessorize,http://myntra.myntassets.com/images/style/properties/Sia-Art-Jewellery-Silver-Toned-Earring-&-Pendant-Set_a1d1115758bd9d9226308a3bb97388c7_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/earring-pendant-set/sia-art-jewellery/sia-art-jewellery-silver-toned-earring-pendant-set/237226/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Become known as the arbiter of good taste by making a statement with this earring and pendant set from Sia Art Jewellery. Wear this pretty set with a flowy summer dress for an effortlessly chic look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Silver toned earring and pendant set<br/>Silver toned drop earrings with stone studded V-shaped base, has a floral shaped dangler with cut-out and stone studded detail, has an oval shaped orange stone at the centre, secured with a post and back closure<br/>Silver toned pendant with a stone studded V-shaped base, has a floral shaped dangler with cut-out and stone studded detail, has an oval shaped orange stone at the centre, comes with a silver toned chain with a lobster closure</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Metal, alloy<br/>Wipe with a clean, dry cotton swab when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Length of pendant: 2.8 cm<br/>Length of chain: 44 cm<br/> Length of earrings: 2.3 cm</p></li></ul>,25:02:2014,None
None,Sia Art Jewellery Gold Toned Earring & Pendant Set,http://www.myntra.com/earring-pendant-set/sia-art-jewellery/sia-art-jewellery-gold-toned-earring-pendant-set/237221/buy,Rs. 1,750,women-jewellery,Jewellery,Accessorize,http://myntra.myntassets.com/images/style/properties/Sia-Art-Jewellery-Gold-Toned-Earring-&-Pendant-Set_7f9cf05ef454f47ee50bd79f97597ec5_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/earring-pendant-set/sia-art-jewellery/sia-art-jewellery-gold-toned-earring-pendant-set/237221/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Become known as the arbiter of good taste by making a statement with this earring and pendant set from Sia Art Jewellery. Wear this pretty set with a flowy summer dress for an effortlessly chic look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Gold toned earring and pendant set<br/>Gold toned drop earrings with an inverted drop shaped base, has a stylised oval shaped dangler with cut-out detail and white stone studded detail around a central faceted oval shaped green stone, secured with a post and back closure<br/>Gold toned pendant with cut-out detail, has a stylised oval shaped dangler with white stone studded detail around a central faceted oval shaped green stone, comes with a gold toned chain with a spring-ring closure</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Metal, alloy<br/>Wipe with a clean, dry cotton swab when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Length of pendant: 3.3 cm<br/>Length of chain: 42.4 cm<br/> Length of earrings: 2.8 cm</p></li></ul>,25:02:2014,None
None,Sia Art Jewellery Silver Toned Earring & Pendant Set,http://www.myntra.com/earring-pendant-set/sia-art-jewellery/sia-art-jewellery-silver-toned-earring-pendant-set/237225/buy,Rs. 1,250,women-jewellery,Jewellery,Accessorize,http://myntra.myntassets.com/images/style/properties/Sia-Art-Jewellery-Silver-Toned-Earring-&-Pendant-Set_cbd065e5121d6105ec4e844309815ba4_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/earring-pendant-set/sia-art-jewellery/sia-art-jewellery-silver-toned-earring-pendant-set/237225/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Become known as the arbiter of good taste by making a statement with this earring and pendant set from Sia Art Jewellery. Wear this pretty set with a flowy summer dress for an effortlessly chic look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Silver toned earring and pendant set<br/>Silver toned drop earrings with a circular shaped base, has a stylised oval shaped dangler with cut-out and stone studded detail, has a pearl like bead at the centre, secured with a post and back closure<br/>Silver toned stylised oval shaped pendant with cut-out and stone studded detail, has a pearl like bead at the centre, comes with a silver toned chain with a lobster closure</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Metal, alloy<br/>Wipe with a clean, dry cotton swab when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Length of pendant: 2.8 cm<br/>Length of chain: 47 cm<br/> Length of earrings: 2.8 cm</p></li></ul>,25:02:2014,None
None,Sia Art Jewellery Silver Toned Earring & Pendant Set,http://www.myntra.com/earring-pendant-set/sia-art-jewellery/sia-art-jewellery-silver-toned-earring-pendant-set/237220/buy,Rs. 1,250,women-jewellery,Jewellery,Accessorize,http://myntra.myntassets.com/images/style/properties/Sia-Art-Jewellery-Silver-Toned-Earring-&-Pendant-Set_b79304a7421899e67c74e6c0eb9cb167_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/earring-pendant-set/sia-art-jewellery/sia-art-jewellery-silver-toned-earring-pendant-set/237220/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Become known as the arbiter of good taste by making a statement with this earring and pendant set from Sia Art Jewellery. Wear this pretty set with a flowy summer dress for an effortlessly chic look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Silver toned earring and pendant set<br/>Silver toned drop earrings with a heart shaped dangler, has white stone studded detail around a central faceted heart shaped red stone, secured with a post and back closure<br/>Silver toned pendant, has white stone studded detail around a central faceted heart shaped red stone, comes with a silver toned chain with a spring-ring closure</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Metal, alloy<br/>Wipe with a clean, dry cotton swab when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Length of pendant: 3.4 cm<br/>Length of chain: 42 cm<br/> Length of earrings: 1.8 cm</p></li></ul>,25:02:2014,None
None,Sia Art Jewellery Gold Toned Earring & Pendant Set,http://www.myntra.com/earring-pendant-set/sia-art-jewellery/sia-art-jewellery-gold-toned-earring-pendant-set/237224/buy,Rs. 1,995,women-jewellery,Jewellery,Accessorize,http://myntra.myntassets.com/images/style/properties/Sia-Art-Jewellery-Gold-Toned-Earring-&-Pendant-Set_1c8678ad8d01123617a1d731c4135092_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/earring-pendant-set/sia-art-jewellery/sia-art-jewellery-gold-toned-earring-pendant-set/237224/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Become known as the arbiter of good taste by making a statement with this earring and pendant set from Sia Art Jewellery. Wear this pretty set with a flowy summer dress for an effortlessly chic look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Gold toned earring and pendant set<br/>Gold toned drop earrings with a oval shaped dangler with cut-out and stone studded detail, has a oval shaped white stone at the bottom, secured with a snap closure<br/>Gold toned oval shaped pendant with cut-out detail and has stone studded detail, comes with a gold toned chain with a lobster closure</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Metal, alloy<br/>Wipe with a clean, dry cotton swab when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Length of pendant: 5 cm<br/>Length of chain: 47 cm<br/> Length of earrings: 3.5 cm</p></li></ul>,25:02:2014,None
