None,Accessorize Girls Light Pink  Hairband,http://www.myntra.com/Hair-Accessory/Accessorize/Accessorize-Girls-Light-Pink--Hairband/205479/buy,Rs. 445,fashion-sale,Extra 32% Off on 30,Accessorize,http://myntra.myntassets.com/images/style/properties/Accessorize-Girls-Light-Pink-Hairband_0945ca1410fb7c9897893985b3487391_images_1080_1440_mini.JPG,None,None,fashion,http://www.myntra.com/Hair-Accessory/Accessorize/Accessorize-Girls-Light-Pink--Hairband/205479/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This cute hairband from Accessorize is perfect for your little daughter. Team it with a frilly frock and ballet flats when she's heading out for a friend's party.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Light pink hairband with black accents<br/>Has heart shaped prints and a bow detail</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>60% polyester, 40% iron<br/>Wipe with a clean cloth to remove dirt</p></li></ul>,26:02:2014,None
None,Accessorize Girls Multi-Coloured Set of 30 Stick On Earrings,http://www.myntra.com/Earrings/Accessorize/Accessorize-Girls-Multi-Coloured-Set-of-30-Stick-On-Earrings/209724/buy,Rs. 395,fashion-sale,Extra 32% Off on 30,Accessorize,http://myntra.myntassets.com/images/style/properties/Accessorize-Girls-Multi-Coloured-Set-of-30-Stick-On-Earrings_763815dd3abd40f038d31a102ee8ef91_images_1080_1440_mini.jpg,None,None,fashion,http://www.myntra.com/Earrings/Accessorize/Accessorize-Girls-Multi-Coloured-Set-of-30-Stick-On-Earrings/209724/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This set of stick on earrings from Accessorize is sure to make a mark. Completely fashion-forward, make your little princess wear this when heading out to play.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Set of 30 stick on earrings<br/>Multi-coloured earrings, with stick on detail</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Plastic<br/>Wipe with a clean cotton swab when needed</p></li></ul>,26:02:2014,None
None,Accessorize Silver Toned Heart Stud Earrings,http://www.myntra.com/Earrings/Accessorize/Accessorize-Silver-Toned-Heart-Stud-Earrings/205445/buy,Rs. 345,fashion-sale,Extra 32% Off on 30,Accessorize,http://myntra.myntassets.com/images/style/properties/Accessorize-Silver-Toned-Heart-Shaped-Stud-Earrings_64d9c7703f18ccd6c029763fb9ba839a_images_1080_1440_mini.jpg,None,None,fashion,http://www.myntra.com/Earrings/Accessorize/Accessorize-Silver-Toned-Heart-Stud-Earrings/205445/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>A pair of delicate earrings is the easiest way to jazz up any look. We suggest that you try doing your hair up and let this gorgeous piece from Accessorize become the centre of all attention.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Silver toned, heart shaped stud earrings<br/>Secured with a post and back closure</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>90% tin, 10% steel<br/>Wipe with a clean cotton swab when needed</p></li></ul>,26:02:2014,None
None,Accessorize Silver Toned Heart Stud Earrings,http://www.myntra.com/Earrings/Accessorize/Accessorize-Silver-Toned-Heart-Stud-Earrings/205445/buy,Rs. 345,fashion-sale,Extra 32% Off on 30,Accessorize,http://myntra.myntassets.com/images/style/properties/Accessorize-Silver-Toned-Heart-Shaped-Stud-Earrings_64d9c7703f18ccd6c029763fb9ba839a_images_1080_1440_mini.jpg,None,None,fashion,http://www.myntra.com/Earrings/Accessorize/Accessorize-Silver-Toned-Heart-Stud-Earrings/205445/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>A pair of delicate earrings is the easiest way to jazz up any look. We suggest that you try doing your hair up and let this gorgeous piece from Accessorize become the centre of all attention.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Silver toned, heart shaped stud earrings<br/>Secured with a post and back closure</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>90% tin, 10% steel<br/>Wipe with a clean cotton swab when needed</p></li></ul>,26:02:2014,None
None,Accessorize Women Brown & Black Handbag,http://www.myntra.com/Handbags/Accessorize/Accessorize-Women-Brown-&-Black-Handbag/209716/buy,Rs. 4,345,fashion-sale,Extra 32% Off on 30,Accessorize,http://myntra.myntassets.com/images/style/properties/Accessorize-Women-Brown-&-Black-Tote-Bag_6e8bb9892088a9b60cb16490e55b7537_images_1080_1440_mini.jpg,None,None,fashion,http://www.myntra.com/Handbags/Accessorize/Accessorize-Women-Brown-&-Black-Handbag/209716/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>If your looking for bright options to colour pop, this handbag from Accessorize is the perfect choice. A practical and trendy piece with extra roomy space for all your essentials, it will add the right amount of style to your outfit.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Brown and black, textured handbag with stitched and overlay detail<br/>Two short handles with buckle detail at the sides, a long, detachable sling strap<br/>One main compartment with a magnetic buttoned closure<br/>Has an inner, detachable zipped pouch</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>100% polyurethane<br/>Wipe with a clean, dry cloth when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Height: 35 cm<br/>Width: 44 cm<br/>Depth: 15 cm<br/>Detachable pouch dimensions: 26 cm x 36 cm x 11 cm</p></li></ul>,26:02:2014,None
None,Accessorize Girls Multi-Coloured Set of 30 Stick On Earrings,http://www.myntra.com/Earrings/Accessorize/Accessorize-Girls-Multi-Coloured-Set-of-30-Stick-On-Earrings/209724/buy,Rs. 395,fashion-sale,Extra 32% Off on 30,Accessorize,http://myntra.myntassets.com/images/style/properties/Accessorize-Girls-Multi-Coloured-Set-of-30-Stick-On-Earrings_763815dd3abd40f038d31a102ee8ef91_images_1080_1440_mini.jpg,None,None,fashion,http://www.myntra.com/Earrings/Accessorize/Accessorize-Girls-Multi-Coloured-Set-of-30-Stick-On-Earrings/209724/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This set of stick on earrings from Accessorize is sure to make a mark. Completely fashion-forward, make your little princess wear this when heading out to play.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Set of 30 stick on earrings<br/>Multi-coloured earrings, with stick on detail</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Plastic<br/>Wipe with a clean cotton swab when needed</p></li></ul>,26:02:2014,None
None,Accessorize Set of 9 Earrings,http://www.myntra.com/Earrings/Accessorize/Accessorize-Set-of-9-Earrings/205447/buy,Rs. 795,fashion-sale,Extra 32% Off on 30,Accessorize,http://myntra.myntassets.com/images/style/properties/Accessorize-Set-of-9-Earrings_6e804903156eae11005085fc56a0469f_images_1080_1440_mini.jpg,None,None,fashion,http://www.myntra.com/Earrings/Accessorize/Accessorize-Set-of-9-Earrings/205447/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>A pair of delicate earrings from Accessorize is the easiest way to jazz up any look. We  suggest that you try doing your hair up in a chic chignon and let this  gorgeous piece become the centre of all attention.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Set of nine earrings<br/>Three pairs of steel toned, spherical shaped earrings in varying sizes, three pairs of white stone studded earrings in varying sizes and three pairs of pearl-like bead earrings in varying sizes<br/>Secured with a post back closure and a rubber stopper</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>60% acrylic, 30% glass and 10% steel<br/>Wipe with a clean, cotton swab when needed</p></li></ul>,26:02:2014,None
None,Accessorize Silver Toned Necklace,http://www.myntra.com/Necklace/Accessorize/Accessorize-Silver-Toned-Necklace/196541/buy,Rs. 344,fashion-sale,Extra 32% Off on 30,Accessorize,http://myntra.myntassets.com/images/style/properties/Accessorize-Silver-Toned-Necklace_6d1027cda8d9be9979c6a55516355fda_images_1080_1440_mini.jpg,Rs. 1,145,None,fashion,http://www.myntra.com/Necklace/Accessorize/Accessorize-Silver-Toned-Necklace/196541/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This trend-setting neckpiece from Accessorize is sure to grab all attention. Let this statement piece take center stage by teaming it with a clean-cut tunic.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Silver toned interlinked chain necklace<br/>Secured with an adjustable lobster clasp closure</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>97% steel, 3% brass <br/>Wipe with a clean, cotton swab when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Length: 55 cm</p></li></ul>,26:02:2014,None
None,Accessorize Girls Pink Hairband,http://www.myntra.com/Hair-Accessory/Accessorize/Accessorize-Girls-Pink-Hairband/205483/buy,Rs. 495,fashion-sale,Extra 32% Off on 30,Accessorize,http://myntra.myntassets.com/images/style/properties/Accessorize-Girls-Pink-Hairband_94e123b171ce92e3497c0a46963fcdf8_images_1080_1440_mini.JPG,None,None,fashion,http://www.myntra.com/Hair-Accessory/Accessorize/Accessorize-Girls-Pink-Hairband/205483/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This cute hairband from Accessorize is perfect for your little daughter. Team it with a frilly frock and ballet flats when she's heading out for a friend's party.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Light pink hairband with pink accents<br/>Has butterfly prints and glitter detail</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>100% plastic<br/>Wipe with a clean cloth to remove dirt</p></li></ul>,26:02:2014,None
None,Accessorize Set of 3 Necklaces,http://www.myntra.com/Necklace/Accessorize/Accessorize-Set-of-3-Necklaces/147866/buy,Rs. 1,045,fashion-sale,Extra 32% Off on 30,Accessorize,http://myntra.myntassets.com/images/style/properties/Accessorize-Women-Necklace_c546c7bc679fd430988aad962df991f8_images_1080_1440_mini.jpg,None,None,fashion,http://www.myntra.com/Necklace/Accessorize/Accessorize-Set-of-3-Necklaces/147866/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This fun and chic creation from Accessorize is sure to catch every   passing eye. You  can  wear it with most casual outfits.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Set of three, gold toned necklaces with a central pendant shaped like a heart with paw print, dog bone and dog face<br/>Secured with a lobster clasp closure</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Zinc, brass, steel <br/>Wipe with a clean, dry cotton swab when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Length of chain: 46 cm</p></li></ul>,26:02:2014,None
None,Accessorize Girls Pink Set of 2 Flower Hair Clips,http://www.myntra.com/Hair-Accessory/Accessorize/Accessorize-Girls-Pink-Set-of-2-Flower-Hair-Clips/196529/buy,Rs. 495,fashion-sale,Extra 32% Off on 30,Accessorize,http://myntra.myntassets.com/images/style/properties/Accessorize-Girls-Pink-Set-of-2-Flower-Hair-Clips_8a0afabbfa1b3289287749d4243bbe2a_images_1080_1440_mini.jpg,None,None,fashion,http://www.myntra.com/Hair-Accessory/Accessorize/Accessorize-Girls-Pink-Set-of-2-Flower-Hair-Clips/196529/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Keep you little girl's locks in control with these trendy and elegant looking clips  from Accessorize. They will surely complement her summer dress.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Set of two pink coloured, alligator hair clips<br/>Flower-shaped detail embellishment with a crystal at the centre</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>80% polyester, 15% metal, 5% acrylic<br/>Wipe with a clean, dry cloth when needed</p></li></ul>,26:02:2014,None
None,Accessorize Pearly White Beaded Bracelet,http://www.myntra.com/Bracelet/Accessorize/Accessorize-Pearly-White-Beaded-Bracelet/200927/buy,Rs. 1,145,fashion-sale,Extra 32% Off on 30,Accessorize,http://myntra.myntassets.com/images/style/properties/Accessorize-Women-Beaded-Bracelet_85bdc617586291917c11f80c9bdb486e_images_1080_1440_mini.jpg,None,None,fashion,http://www.myntra.com/Bracelet/Accessorize/Accessorize-Pearly-White-Beaded-Bracelet/200927/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This bracelet from Accessorize is elegant and adorable. Wear it with a sheath dress for an evening do, to add a glamorous touch to your look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Pearly white beaded bracelet formed by a cluster of pearl-like beads strung on elasticated cords</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Acrylic<br/>Wipe with a clean cotton swab when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Minimum diameter: 6 cm (adjustable)</p></li></ul>,26:02:2014,None
None,Accessorize Gold Toned Necklace,http://www.myntra.com/Necklace/Accessorize/Accessorize-Gold-Toned-Necklace/196545/buy,Rs. 404,fashion-sale,Extra 32% Off on 30,Accessorize,http://myntra.myntassets.com/images/style/properties/Accessorize-Gold-Toned-Necklace_9f375c739de62c03df49bf64556b6c89_images_1080_1440_mini.jpg,Rs. 1,345,None,fashion,http://www.myntra.com/Necklace/Accessorize/Accessorize-Gold-Toned-Necklace/196545/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This trend-setting necklace from Accessorize is sure to grab all  attention. Let this statement piece take center stage by teaming it with  a clean-cut tunic.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Gold toned necklace with triangular metal and studded details at the centre and silver toned chain at the sides<br/>Secured with an adjustable lobster clasp closure</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>50% zinc, 40% brass, 10% glass <br/>Wipe with a clean, dry cloth when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Length: 40 cm</p></li></ul>,26:02:2014,None
None,Accessorize Blue Bracelet,http://www.myntra.com/Bracelet/Accessorize/Accessorize-Blue-Bracelet/188722/buy,Rs. 1,945,fashion-sale,Extra 32% Off on 30,Accessorize,http://myntra.myntassets.com/images/style/properties/Accessorize-Women-Bracelet_eb4c9dc92a0b505923b7163698c1fe79_images_1080_1440_mini.jpg,None,None,fashion,http://www.myntra.com/Bracelet/Accessorize/Accessorize-Blue-Bracelet/188722/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This bracelet from Accessorize is catchy and chic. Put it on with a sheath dress to add a glamorous touch to your look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Blue and gold toned bracelet with faceted blue beads on a gold toned base, strung on an elasticated chord</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>70% zinc, 30% plastic <br/>Wipe with a clean, cotton swab when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Minimum diameter: 5 cm</p></li></ul>,26:02:2014,None
None,Accessorize Girls Shimmering Pink Sling Bag,http://www.myntra.com/Handbags/Accessorize/Accessorize-Girls-Shimmering-Pink-Sling-Bag/185587/buy,Rs. 1,045,fashion-sale,Extra 32% Off on 30,Accessorize,http://myntra.myntassets.com/images/style/properties/Accessorize-Girls-Shimmering-Pink-Sling-Bag_382c92e89a2c64c1c5d8e2566b31268d_images_1080_1440_mini.jpg,None,None,fashion,http://www.myntra.com/Handbags/Accessorize/Accessorize-Girls-Shimmering-Pink-Sling-Bag/185587/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Indulge your little one with this cat face sling bag from Accessorize. Cute as a button, pack it with the essentials that your little one might need and let her carry this bright bag in style.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Shimmering pink sling bag with an embroidered cat face and bow detail at the front<br/>Has two ears with shimmering silver toned accents<br/>A long sling strap<br/>One main zipped compartment</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>100% polyester<br/>Wipe with a clean, dry cloth when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Height: 11 cm<br/>Width: 11 cm<br/>Depth: 2.5 cm</p></li></ul>,26:02:2014,None
None,Accessorize Women Cream Set of Two Hair Clips,http://www.myntra.com/Hair-Accessory/Accessorize/Accessorize-Women-Cream-Set-of-Two-Hair-Clips/156094/buy,Rs. 284,fashion-sale,Extra 32% Off on 30,Accessorize,http://myntra.myntassets.com/images/style/properties/Accessorize-Women-Cream-Set-of-Two-Hair-Clips_75eb3a488a5edf72c81435c7c6f193d0_images_1080_1440_mini.jpg,Rs. 945,None,fashion,http://www.myntra.com/Hair-Accessory/Accessorize/Accessorize-Women-Cream-Set-of-Two-Hair-Clips/156094/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Whimsical with a girly touch, this pretty hair clip from Accessorize is a  classic addition to your accessory collection. The cutesy style makes  it hard to resist and we suggest, you don't shy away from the spell this  piece puts you under!</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Set of two cream coloured alligator clip with clasp closure<br/>Has rosette detail with beed embelishments on top<br/><br/><br/></p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>70% Steel, 18% Polyester, 12% Plastic</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Length: 6cms</p></li></ul>,26:02:2014,None
None,Accessorize Silver Toned Necklace,http://www.myntra.com/Necklace/Accessorize/Accessorize-Silver-Toned-Necklace/196542/buy,Rs. 344,fashion-sale,Extra 32% Off on 30,Accessorize,http://myntra.myntassets.com/images/style/properties/Accessorize-Silver-Toned-Necklace_1d8ee29195cf06080f7fbb67936afbc4_images_1080_1440_mini.jpg,Rs. 1,145,None,fashion,http://www.myntra.com/Necklace/Accessorize/Accessorize-Silver-Toned-Necklace/196542/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This trend-setting necklace from Accessorize is sure to grab all  attention. Let this statement piece take center stage by teaming it with  a clean-cut tunic.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Silver toned necklace with cross shaped motifs linked together<br/>Secured with a lobster clasp closure</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>100% steel<br/>Wipe with a clean, cotton swab when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Length: 92 cm</p></li></ul>,26:02:2014,None
None,Accessorize Girls Cream Toned Hairband,http://www.myntra.com/Hair-Accessory/Accessorize/Accessorize-Girls-Cream-Toned-Hairband/205487/buy,Rs. 445,fashion-sale,Extra 32% Off on 30,Accessorize,http://myntra.myntassets.com/images/style/properties/Accessorize-Girls-Cream-Toned-Hairband_b45d4eacd4e75b5ecddd448f30f2a830_images_1080_1440_mini.jpg,None,None,fashion,http://www.myntra.com/Hair-Accessory/Accessorize/Accessorize-Girls-Cream-Toned-Hairband/205487/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Chic hair adornments are in the style spotlight. Accessorize's playful hairband is one of our favourites. This pretty style is sure to lend an instant spark to your little angel's look</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Cream toned lace hairband with gold toned shimmering accents and an elasticated, satin base</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>99% polyester, 1% plastic<br/>Dust with a clean cloth when needed</p></li></ul>,26:02:2014,None
None,Accessorize Gold Toned Heart Drop Earrings,http://www.myntra.com/Earrings/Accessorize/Accessorize-Gold-Toned-Heart-Drop-Earrings/205444/buy,Rs. 545,fashion-sale,Extra 32% Off on 30,Accessorize,http://myntra.myntassets.com/images/style/properties/Accessorize-Gold-Toned-Heart-Shaped-Drop-Earrings_e38b926a982d2d2ee57e27dc0945b825_images_1080_1440_mini.jpg,None,None,fashion,http://www.myntra.com/Earrings/Accessorize/Accessorize-Gold-Toned-Heart-Drop-Earrings/205444/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Add glamour to tonal outfits with these earrings from Accessorize. Draw attention to this piece by sweeping your hair in an elegant up do.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Gold toned drop earrings with hollow, heart shaped dangler that has intricate wire wrap detailing<br/>Secured with a fish hook closure and rubber stopper</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>80% steel, 20% brass<br/>Wipe with a clean cotton swab when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Length: 2.8 cm</p></li></ul>,26:02:2014,None
None,Accessorize Set of 15 Brown Hairbands,http://www.myntra.com/Hair-Accessory/Accessorize/Accessorize-Set-of-15-Brown-Hairbands/156102/buy,Rs. 345,fashion-sale,Extra 32% Off on 30,Accessorize,http://myntra.myntassets.com/images/style/properties/Accessorize-Women-Hair-Accessory_b9e6de0c7394b0ef5d8fa0528e7670f1_images_1080_1440_mini.jpg,None,None,fashion,http://www.myntra.com/Hair-Accessory/Accessorize/Accessorize-Set-of-15-Brown-Hairbands/156102/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Add a distinct touch to your look with this gorgeous and chic hair ties from Accessorize. We recommend you put this on and make a messy hair do for this summer.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Set of 15 brown hair ties, elasticated for a secured fit</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>60% rubber, 30% nylon, 10% zinc<br/>Wipe with a clean cotton swab when needed</p></li></ul>,26:02:2014,None
None,Accessorize Set of 5 Black Hairbands,http://www.myntra.com/Hair-Accessory/Accessorize/Accessorize-Set-of-5-Black-Hairbands/181407/buy,Rs. 445,fashion-sale,Extra 32% Off on 30,Accessorize,http://myntra.myntassets.com/images/style/properties/Accessorize-Set-Of-5-Black-Hairbands_b52579c1342b001092af0382fa64ef87_images_1080_1440_mini.jpg,None,None,fashion,http://www.myntra.com/Hair-Accessory/Accessorize/Accessorize-Set-of-5-Black-Hairbands/181407/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Play around with your locks and sport different hair dos with these of hair bands from Accessorize. A handy accessory, it will help you stay stylish all the time.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Set of five, black, elasticated hair bands</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>100% nylon<br/>Wipe with a clean cotton swab when needed</p></li></ul>,26:02:2014,None
None,Accessorize Silver Toned Drop Earrings,http://www.myntra.com/Earrings/Accessorize/Accessorize-Silver-Toned-Drop-Earrings/205451/buy,Rs. 445,fashion-sale,Extra 32% Off on 30,Accessorize,http://myntra.myntassets.com/images/style/properties/Accessorize-Silver-Toned-Drop-Earrings_edc51f1cdd875bb288613d4cd0f83269_images_1080_1440_mini.jpg,None,None,fashion,http://www.myntra.com/Earrings/Accessorize/Accessorize-Silver-Toned-Drop-Earrings/205451/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Known for their inclination towards the stylish and trendy, Accessorize  presents these pretty earrings. You can pair them with casual or  indo-Western outfits.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Steel toned, circular drop earrings with textured and cut-out details<br/>Fish hook back with a rubber stopper</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>100% Steel<br/>Wipe with a clean, cotton swab when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Length: 4.5 cm</p></li></ul>,26:02:2014,None
